event_id,timestamp,entity_id,entity_type,event_type,outcome,source_ip,resource,bytes_transferred,severity,metadata
EVT-W2-T3-EXFIL-000,2026-09-02T14:00:00+00:00,dev_alice,user,data_transfer,success,10.0.2.14,/customer_db/dump_2026.tar.gz,36700160,critical,"{""proto"": ""sftp"", ""dest"": ""203.0.113.88""}"
EVT-W2-NORM-user_heidi-000,2026-09-02T11:14:00+00:00,user_heidi,user,data_transfer,success,10.0.1.147,/shared/docs/report_5.pdf,30618,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_heidi""}"
EVT-W2-NORM-user_grace-007,2026-09-02T10:28:00+00:00,user_grace,user,file_access,success,10.0.1.104,/shared/docs/report_5.pdf,2397,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-NORM-user_dave-007,2026-09-02T09:56:00+00:00,user_dave,user,data_transfer,success,10.0.1.92,/shared/docs/report_6.pdf,40064,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_quinn-005,2026-09-02T16:28:00+00:00,user_quinn,user,file_access,success,10.0.1.185,/shared/docs/report_6.pdf,24935,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_quinn""}"
EVT-W2-NORM-user_oscar-005,2026-09-02T12:32:00+00:00,user_oscar,user,file_access,success,10.0.1.193,/shared/docs/report_2.pdf,26522,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_dave-000,2026-09-02T16:04:00+00:00,user_dave,user,file_access,success,10.0.1.92,/shared/docs/report_5.pdf,41463,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_dave-010,2026-09-02T11:30:00+00:00,user_dave,user,data_transfer,success,10.0.1.92,/shared/docs/report_5.pdf,12394,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_emma-003,2026-09-02T17:52:00+00:00,user_emma,user,login,success,10.0.1.61,/shared/docs/report_9.pdf,30776,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_laura-001,2026-09-02T16:54:00+00:00,user_laura,user,data_transfer,success,10.0.1.188,/shared/docs/report_7.pdf,45464,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-NORM-user_dave-005,2026-09-02T13:44:00+00:00,user_dave,user,data_transfer,success,10.0.1.92,/shared/docs/report_5.pdf,33298,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_kevin-001,2026-09-02T12:21:00+00:00,user_kevin,user,file_access,success,10.0.1.52,/shared/docs/report_10.pdf,685,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_kevin""}"
EVT-W2-NORM-user_grace-002,2026-09-02T11:04:00+00:00,user_grace,user,data_transfer,success,10.0.1.104,/shared/docs/report_5.pdf,22687,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-NORM-user_bob-002,2026-09-02T17:22:00+00:00,user_bob,user,data_transfer,success,10.0.1.24,/shared/docs/report_9.pdf,22178,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-NORM-user_oscar-006,2026-09-02T09:27:00+00:00,user_oscar,user,login,success,10.0.1.193,/shared/docs/report_8.pdf,5602,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_frank-007,2026-09-02T13:53:00+00:00,user_frank,user,data_transfer,success,10.0.1.60,/shared/docs/report_3.pdf,29764,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-NORM-user_emma-007,2026-09-02T16:07:00+00:00,user_emma,user,login,success,10.0.1.61,/shared/docs/report_10.pdf,16182,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_laura-005,2026-09-02T17:18:00+00:00,user_laura,user,data_transfer,success,10.0.1.188,/shared/docs/report_9.pdf,40177,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-T2-PRIV-000,2026-09-02T12:00:00+00:00,admin_mscott,user,privilege_change,success,10.0.1.5,/iam/roles/DomainAdmins,0,critical,"{""target_grantee"": ""shadow_admin""}"
EVT-W2-NORM-user_mike-007,2026-09-02T13:44:00+00:00,user_mike,user,file_access,success,10.0.1.170,/shared/docs/report_6.pdf,23504,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_mike""}"
EVT-W2-NORM-user_oscar-003,2026-09-02T14:07:00+00:00,user_oscar,user,login,success,10.0.1.193,/shared/docs/report_8.pdf,49456,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_heidi-002,2026-09-02T17:10:00+00:00,user_heidi,user,login,success,10.0.1.147,/shared/docs/report_8.pdf,23146,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_heidi""}"
EVT-W2-NORM-user_peggy-003,2026-09-02T10:33:00+00:00,user_peggy,user,file_access,success,10.0.1.47,/shared/docs/report_6.pdf,23509,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_laura-007,2026-09-02T12:27:00+00:00,user_laura,user,data_transfer,success,10.0.1.188,/shared/docs/report_4.pdf,27619,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-NORM-user_laura-002,2026-09-02T10:31:00+00:00,user_laura,user,data_transfer,success,10.0.1.188,/shared/docs/report_2.pdf,5794,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-NORM-user_dave-006,2026-09-02T17:31:00+00:00,user_dave,user,data_transfer,success,10.0.1.92,/shared/docs/report_2.pdf,39692,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_judy-007,2026-09-02T13:12:00+00:00,user_judy,user,login,success,10.0.1.31,/shared/docs/report_8.pdf,6507,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_judy""}"
EVT-W2-NORM-user_peggy-009,2026-09-02T09:22:00+00:00,user_peggy,user,login,success,10.0.1.47,/shared/docs/report_5.pdf,30760,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_frank-010,2026-09-02T12:36:00+00:00,user_frank,user,data_transfer,success,10.0.1.60,/shared/docs/report_4.pdf,27420,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-T1-FAIL-003,2026-09-02T10:09:00+00:00,user_jdoe,user,login,failure,198.51.100.44,/auth/sso,0,medium,"{""reason"": ""invalid_password""}"
EVT-W2-NORM-user_dave-002,2026-09-02T11:58:00+00:00,user_dave,user,file_access,success,10.0.1.92,/shared/docs/report_3.pdf,5179,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_grace-004,2026-09-02T17:24:00+00:00,user_grace,user,file_access,success,10.0.1.104,/shared/docs/report_8.pdf,35956,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-NORM-user_oscar-000,2026-09-02T16:33:00+00:00,user_oscar,user,file_access,success,10.0.1.193,/shared/docs/report_1.pdf,14951,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_peggy-007,2026-09-02T14:55:00+00:00,user_peggy,user,file_access,success,10.0.1.47,/shared/docs/report_3.pdf,29320,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_ivan-005,2026-09-02T13:47:00+00:00,user_ivan,user,file_access,success,10.0.1.188,/shared/docs/report_2.pdf,31192,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-NORM-user_bob-001,2026-09-02T12:19:00+00:00,user_bob,user,file_access,success,10.0.1.24,/shared/docs/report_8.pdf,36772,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-T3-EXFIL-001,2026-09-02T14:12:00+00:00,dev_alice,user,data_transfer,success,10.0.2.14,/customer_db/dump_2026.tar.gz,36700160,critical,"{""proto"": ""sftp"", ""dest"": ""203.0.113.88""}"
EVT-W2-NORM-user_carol-004,2026-09-02T15:38:00+00:00,user_carol,user,file_access,success,10.0.1.142,/shared/docs/report_9.pdf,25428,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-T2-PRIV-002,2026-09-02T12:20:00+00:00,admin_mscott,user,privilege_change,success,10.0.1.5,/iam/roles/DomainAdmins,0,critical,"{""target_grantee"": ""shadow_admin""}"
EVT-W2-NORM-user_laura-000,2026-09-02T17:19:00+00:00,user_laura,user,data_transfer,success,10.0.1.188,/shared/docs/report_1.pdf,4486,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-NORM-user_peggy-002,2026-09-02T14:49:00+00:00,user_peggy,user,file_access,success,10.0.1.47,/shared/docs/report_2.pdf,33955,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_dave-003,2026-09-02T09:10:00+00:00,user_dave,user,file_access,success,10.0.1.92,/shared/docs/report_10.pdf,49583,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_laura-006,2026-09-02T15:06:00+00:00,user_laura,user,login,success,10.0.1.188,/shared/docs/report_9.pdf,47740,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-NORM-user_dave-011,2026-09-02T15:40:00+00:00,user_dave,user,data_transfer,success,10.0.1.92,/shared/docs/report_2.pdf,31302,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_heidi-006,2026-09-02T13:01:00+00:00,user_heidi,user,data_transfer,success,10.0.1.147,/shared/docs/report_5.pdf,1030,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_heidi""}"
EVT-W2-NORM-user_emma-001,2026-09-02T15:52:00+00:00,user_emma,user,login,success,10.0.1.61,/shared/docs/report_8.pdf,6271,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_ivan-010,2026-09-02T12:30:00+00:00,user_ivan,user,login,success,10.0.1.188,/shared/docs/report_10.pdf,37292,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-NORM-user_judy-002,2026-09-02T14:42:00+00:00,user_judy,user,data_transfer,success,10.0.1.31,/shared/docs/report_10.pdf,49145,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_judy""}"
EVT-W2-NORM-user_mike-003,2026-09-02T12:09:00+00:00,user_mike,user,data_transfer,success,10.0.1.170,/shared/docs/report_4.pdf,7592,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_mike""}"
EVT-W2-NORM-user_nina-001,2026-09-02T09:05:00+00:00,user_nina,user,file_access,success,10.0.1.66,/shared/docs/report_7.pdf,28014,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_nina""}"
EVT-W2-NORM-user_judy-006,2026-09-02T14:34:00+00:00,user_judy,user,file_access,success,10.0.1.31,/shared/docs/report_1.pdf,26592,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_judy""}"
EVT-W2-NORM-user_carol-008,2026-09-02T10:10:00+00:00,user_carol,user,file_access,success,10.0.1.142,/shared/docs/report_3.pdf,36675,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-NORM-user_heidi-008,2026-09-02T14:14:00+00:00,user_heidi,user,file_access,success,10.0.1.147,/shared/docs/report_10.pdf,16925,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_heidi""}"
EVT-W2-NORM-user_frank-006,2026-09-02T15:21:00+00:00,user_frank,user,file_access,success,10.0.1.60,/shared/docs/report_1.pdf,19036,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-NORM-user_heidi-004,2026-09-02T13:12:00+00:00,user_heidi,user,data_transfer,success,10.0.1.147,/shared/docs/report_8.pdf,7489,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_heidi""}"
EVT-W2-NORM-user_ivan-006,2026-09-02T10:09:00+00:00,user_ivan,user,file_access,success,10.0.1.188,/shared/docs/report_7.pdf,37024,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-NORM-user_dave-008,2026-09-02T13:01:00+00:00,user_dave,user,login,success,10.0.1.92,/shared/docs/report_4.pdf,44690,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_bob-008,2026-09-02T09:45:00+00:00,user_bob,user,file_access,success,10.0.1.24,/shared/docs/report_5.pdf,3482,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-NORM-user_quinn-001,2026-09-02T17:50:00+00:00,user_quinn,user,login,success,10.0.1.185,/shared/docs/report_8.pdf,37964,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_quinn""}"
EVT-W2-T2-CFG-001,2026-09-02T13:08:00+00:00,admin_mscott,user,config_change,success,10.0.1.5,/etc/auditd/auditd.conf,0,high,"{""action"": ""disable_logging""}"
EVT-W2-NORM-user_nina-003,2026-09-02T14:49:00+00:00,user_nina,user,login,success,10.0.1.66,/shared/docs/report_1.pdf,10696,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_nina""}"
EVT-W2-NORM-user_kevin-004,2026-09-02T09:08:00+00:00,user_kevin,user,login,success,10.0.1.52,/shared/docs/report_6.pdf,16093,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_kevin""}"
EVT-W2-NORM-user_carol-007,2026-09-02T10:48:00+00:00,user_carol,user,file_access,success,10.0.1.142,/shared/docs/report_4.pdf,17843,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-NORM-user_bob-003,2026-09-02T14:44:00+00:00,user_bob,user,data_transfer,success,10.0.1.24,/shared/docs/report_5.pdf,20594,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-NORM-user_carol-009,2026-09-02T10:10:00+00:00,user_carol,user,login,success,10.0.1.142,/shared/docs/report_7.pdf,30024,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-NORM-user_grace-009,2026-09-02T14:27:00+00:00,user_grace,user,file_access,success,10.0.1.104,/shared/docs/report_4.pdf,35310,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-T3-EXFIL-002,2026-09-02T14:24:00+00:00,dev_alice,user,data_transfer,success,10.0.2.14,/customer_db/dump_2026.tar.gz,36700160,critical,"{""proto"": ""sftp"", ""dest"": ""203.0.113.88""}"
EVT-W2-NORM-user_peggy-006,2026-09-02T16:29:00+00:00,user_peggy,user,data_transfer,success,10.0.1.47,/shared/docs/report_10.pdf,42639,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_ivan-012,2026-09-02T16:58:00+00:00,user_ivan,user,file_access,success,10.0.1.188,/shared/docs/report_7.pdf,8146,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-T1-ODD-000,2026-09-03T02:30:00+00:00,user_jdoe,user,file_access,success,198.51.100.44,/secure/finance/q3_salary_data.xlsx,1200000,high,"{""session"": ""nightly_ssh""}"
EVT-W2-NORM-user_oscar-007,2026-09-02T14:36:00+00:00,user_oscar,user,data_transfer,success,10.0.1.193,/shared/docs/report_10.pdf,27004,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_bob-007,2026-09-02T13:14:00+00:00,user_bob,user,file_access,success,10.0.1.24,/shared/docs/report_3.pdf,20309,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_bob""}"
EVT-W2-NORM-user_ivan-004,2026-09-02T13:53:00+00:00,user_ivan,user,file_access,success,10.0.1.188,/shared/docs/report_5.pdf,32078,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-NORM-user_emma-000,2026-09-02T14:26:00+00:00,user_emma,user,data_transfer,success,10.0.1.61,/shared/docs/report_5.pdf,43923,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_quinn-000,2026-09-02T10:39:00+00:00,user_quinn,user,data_transfer,success,10.0.1.185,/shared/docs/report_8.pdf,38532,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_quinn""}"
EVT-W2-NORM-user_ivan-001,2026-09-02T16:02:00+00:00,user_ivan,user,file_access,success,10.0.1.188,/shared/docs/report_3.pdf,6406,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-NORM-user_frank-002,2026-09-02T11:31:00+00:00,user_frank,user,file_access,success,10.0.1.60,/shared/docs/report_9.pdf,46729,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-T4-FW-000,2026-09-02T11:00:00+00:00,service_backup,service_account,firewall_event,denied,10.0.10.2,/port/445,0,high,"{""action"": ""drop_packet"", ""rule"": ""FW-BLOCK-SMB-RDP""}"
EVT-W2-T4-FW-002,2026-09-02T11:10:00+00:00,service_backup,service_account,firewall_event,denied,10.0.12.2,/port/445,0,high,"{""action"": ""drop_packet"", ""rule"": ""FW-BLOCK-SMB-RDP""}"
EVT-W2-NORM-user_kevin-005,2026-09-02T14:01:00+00:00,user_kevin,user,file_access,success,10.0.1.52,/shared/docs/report_5.pdf,3934,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_kevin""}"
EVT-W2-NORM-user_quinn-007,2026-09-02T09:50:00+00:00,user_quinn,user,file_access,success,10.0.1.185,/shared/docs/report_2.pdf,22106,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_quinn""}"
EVT-W2-NORM-user_grace-000,2026-09-02T10:55:00+00:00,user_grace,user,data_transfer,success,10.0.1.104,/shared/docs/report_2.pdf,34968,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-T2-PRIV-001,2026-09-02T12:10:00+00:00,admin_mscott,user,privilege_change,success,10.0.1.5,/iam/roles/DomainAdmins,0,critical,"{""target_grantee"": ""shadow_admin""}"
EVT-W2-NORM-user_carol-010,2026-09-02T16:18:00+00:00,user_carol,user,login,success,10.0.1.142,/shared/docs/report_4.pdf,19381,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-NORM-user_laura-011,2026-09-02T10:53:00+00:00,user_laura,user,login,success,10.0.1.188,/shared/docs/report_2.pdf,28803,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-T4-FW-003,2026-09-02T11:15:00+00:00,service_backup,service_account,firewall_event,denied,10.0.13.2,/port/3389,0,high,"{""action"": ""drop_packet"", ""rule"": ""FW-BLOCK-SMB-RDP""}"
EVT-W2-NORM-user_laura-008,2026-09-02T14:52:00+00:00,user_laura,user,data_transfer,success,10.0.1.188,/shared/docs/report_7.pdf,27762,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_laura""}"
EVT-W2-NORM-user_grace-001,2026-09-02T16:00:00+00:00,user_grace,user,file_access,success,10.0.1.104,/shared/docs/report_7.pdf,43411,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-W2-NORM-user_emma-004,2026-09-02T15:03:00+00:00,user_emma,user,file_access,success,10.0.1.61,/shared/docs/report_9.pdf,24209,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_nina-004,2026-09-02T11:48:00+00:00,user_nina,user,login,success,10.0.1.66,/shared/docs/report_2.pdf,18332,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_nina""}"
EVT-W2-NORM-user_peggy-000,2026-09-02T12:27:00+00:00,user_peggy,user,data_transfer,success,10.0.1.47,/shared/docs/report_9.pdf,5654,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_nina-006,2026-09-02T16:26:00+00:00,user_nina,user,file_access,success,10.0.1.66,/shared/docs/report_4.pdf,49975,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_nina""}"
EVT-W2-NORM-user_mike-005,2026-09-02T12:51:00+00:00,user_mike,user,data_transfer,success,10.0.1.170,/shared/docs/report_9.pdf,41245,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_mike""}"
EVT-W2-NORM-user_carol-002,2026-09-02T10:36:00+00:00,user_carol,user,login,success,10.0.1.142,/shared/docs/report_3.pdf,10277,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_carol""}"
EVT-W2-NORM-user_emma-006,2026-09-02T13:35:00+00:00,user_emma,user,file_access,success,10.0.1.61,/shared/docs/report_5.pdf,29212,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_emma-002,2026-09-02T14:16:00+00:00,user_emma,user,file_access,success,10.0.1.61,/shared/docs/report_2.pdf,26988,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_emma""}"
EVT-W2-NORM-user_oscar-001,2026-09-02T15:38:00+00:00,user_oscar,user,login,success,10.0.1.193,/shared/docs/report_1.pdf,13897,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_dave-001,2026-09-02T12:27:00+00:00,user_dave,user,login,success,10.0.1.92,/shared/docs/report_9.pdf,15233,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_dave""}"
EVT-W2-NORM-user_kevin-006,2026-09-02T11:47:00+00:00,user_kevin,user,data_transfer,success,10.0.1.52,/shared/docs/report_9.pdf,7948,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_kevin""}"
EVT-W2-NORM-user_ivan-000,2026-09-02T11:40:00+00:00,user_ivan,user,login,success,10.0.1.188,/shared/docs/report_1.pdf,20746,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_ivan""}"
EVT-W2-NORM-user_frank-012,2026-09-02T11:31:00+00:00,user_frank,user,login,success,10.0.1.60,/shared/docs/report_3.pdf,33418,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-NORM-user_oscar-009,2026-09-02T14:10:00+00:00,user_oscar,user,data_transfer,success,10.0.1.193,/shared/docs/report_6.pdf,6275,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_oscar""}"
EVT-W2-NORM-user_frank-011,2026-09-02T09:20:00+00:00,user_frank,user,data_transfer,success,10.0.1.60,/shared/docs/report_7.pdf,25802,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_frank""}"
EVT-W2-NORM-user_judy-003,2026-09-02T11:56:00+00:00,user_judy,user,data_transfer,success,10.0.1.31,/shared/docs/report_2.pdf,32569,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_judy""}"
EVT-W2-NORM-user_peggy-005,2026-09-02T12:11:00+00:00,user_peggy,user,file_access,success,10.0.1.47,/shared/docs/report_2.pdf,12109,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_peggy""}"
EVT-W2-NORM-user_mike-004,2026-09-02T14:54:00+00:00,user_mike,user,file_access,success,10.0.1.170,/shared/docs/report_2.pdf,18756,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_mike""}"
EVT-W2-T1-ODD-003,2026-09-03T03:15:00+00:00,user_jdoe,user,file_access,success,198.51.100.44,/secure/finance/q3_salary_data.xlsx,1200000,high,"{""session"": ""nightly_ssh""}"
EVT-W2-NORM-user_grace-010,2026-09-02T15:36:00+00:00,user_grace,user,file_access,success,10.0.1.104,/shared/docs/report_3.pdf,11973,info,"{""dept"": ""marketing"", ""workstation"": ""WS-user_grace""}"
EVT-BAD-TIME-001,INVALID_TIMESTAMP_STRING,user_malformed_2,,login,success,,,,,
